Species,Viviparity
Liolaemus_abaucan,0
Liolaemus_albiceps,1
Liolaemus_andinus,1
Liolaemus_anomalus,0
Liolaemus_archeforus,1
Liolaemus_atacamensis,0
Liolaemus_audituvelatus,1
Liolaemus_austromendocinus,1
Liolaemus_azarai,0
Liolaemus_baguali,1
Liolaemus_bibronii,0
Liolaemus_bitaeniatus,0
Liolaemus_boulengeri,0
Liolaemus_buergeri,1
Liolaemus_burmeisteri,1
Liolaemus_canqueli,0
Liolaemus_capillitas,1
Liolaemus_chacabucoense,1
Liolaemus_chacoensis,0
Liolaemus_chehuachekenk,0
Liolaemus_coeruleus,0
Liolaemus_confusus,0
Liolaemus_constanzae,0
Liolaemus_crandalli,1
Liolaemus_cristiani,1
Liolaemus_cuyanus,0
Liolaemus_cuyumhue,0
Liolaemus_darwinii,0
Liolaemus_donosobarrosi,0
Liolaemus_eleodori,1
Liolaemus_elongatus,1
Liolaemus_escarchadosi,1
Liolaemus_espinozai,0
Liolaemus_fabiani,1
Liolaemus_famatinae,1
Liolaemus_fitzgeraldi,1
Liolaemus_fitzingerii,0
Liolaemus_fuscus,0
Liolaemus_gallardoi,1
Liolaemus_goetschi,0
Liolaemus_gracilis,0
Liolaemus_gununakuna,1
Liolaemus_hatcheri,1
Liolaemus_heliodermis,1
Liolaemus_huacahuasicus,1
Liolaemus_insolitus,1
Liolaemus_irregularis,1
Liolaemus_isabelae,1
Liolaemus_janequeoae,1
Liolaemus_kingii,1
Liolaemus_kolengh,1
Liolaemus_koslowskyi,0
Liolaemus_kriegi,1
Liolaemus_laurenti,0
Liolaemus_lavillai,1
Liolaemus_leftrarui,1
Liolaemus_lemniscatus,0
Liolaemus_leopardinus,1
Liolaemus_lineomaculatus,1
Liolaemus_lorenzmuelleri,0
Liolaemus_lutzae,0
Liolaemus_magellanicus,1
Liolaemus_maldonadae,1
Liolaemus_mapuche,0
Liolaemus_martorii,0
Liolaemus_melanops,0
Liolaemus_monticola,0
Liolaemus_morenoi,0
Liolaemus_multicolor,1
Liolaemus_multimaculatus,0
Liolaemus_neuquensis,1
Liolaemus_nigromaculatus,0
Liolaemus_nitidus,0
Liolaemus_occipitalis,0
Liolaemus_olongasta,0
Liolaemus_ornatus,1
Liolaemus_pagaburoi,1
Liolaemus_parvus,1
Liolaemus_petrophilus,1
Liolaemus_poecilochromis,1
Liolaemus_polystictus,1
Liolaemus_pseudoanomalus,0
Liolaemus_pseudolemniscatus,0
Liolaemus_punmahuida,1
Liolaemus_quilmes,0
Liolaemus_ramirezae,0
Liolaemus_riojanus,0
Liolaemus_rothi,0
Liolaemus_ruibali,1
Liolaemus_sagei,0
Liolaemus_salinicola,0
Liolaemus_sarmientoi,1
Liolaemus_saxatilis,0
Liolaemus_scapularis,0
Liolaemus_scorialis,1
Liolaemus_silvai,0
Liolaemus_sitesi,0
Liolaemus_somuncurae,1
Liolaemus_tari,1
Liolaemus_thermarum,1
Liolaemus_torresi,1
Liolaemus_tregenzai,1
Liolaemus_tristis,1
Liolaemus_uniformis,1
Liolaemus_uptoni,1
Liolaemus_vallecurensis,1
Liolaemus_velosoi,0
Liolaemus_wiegmannii,0
Liolaemus_xanthoviridis,0
Liolaemus_zabalai,1
Liolaemus_zullyae,1
Phymaturus_aguedae,1
Phymaturus_antofagastensis,1
Phymaturus_bibronii,1
Phymaturus_calcogaster,1
Phymaturus_ceii,1
Phymaturus_maulense,1
Phymaturus_delheyi,1
Phymaturus_denotatus,1
Phymaturus_dorsimaculatus,1
Phymaturus_etheridgei,1
Phymaturus_extrilidus,1
Phymaturus_felixi,1
Phymaturus_indistinctus,1
Phymaturus_laurenti,1
Phymaturus_mallimaccii,1
Phymaturus_manuelae,1
Phymaturus_nevadoi,1
Phymaturus_palluma,1
Phymaturus_patagonicus,1
Phymaturus_payuniae,1
Phymaturus_punae,1
Phymaturus_querque,1
Phymaturus_roigorum,1
Phymaturus_sitesi,1
Phymaturus_somuncurensis,1
Phymaturus_rahuensis,1
Phymaturus_timi,1
Phymaturus_spurcus,1
Phymaturus_tenebrosus,1
Phymaturus_tromen,1
Phymaturus_verdugo,1
Phymaturus_videlai,1
Phymaturus_vociferator,1
Phymaturus_williamsi,1
Phymaturus_zapalensis,1